,Title,Image,Description,Genre,Duration,Date,ID,text,k_means
19,Upstream,https://ichef.bbci.co.uk/images/ic/1200x675/p07pdjbl.jpg,A psycho-acoustic flight along the course of the river Dee in Scotland.,arts,27 mins,29 Sep 2019,19,psycho acoustic flight course river Dee Scotland,0
20,Handmade in Bolton - Series 1: 4. Rock Crystal Bottle,https://ichef.bbci.co.uk/images/ic/1200x675/p07q4l1s.jpg,Shaun Greenhalgh attempts to carve a 10th-century Islamic bottle out of rock crystal.,arts,29 mins,7:30pm 13 Oct 2019,20,Shaun Greenhalgh attempt carve 10th century islamic bottle rock crystal,0
21,Mystify: Michael Hutchence,https://ichef.bbci.co.uk/images/ic/1200x675/p07ycgpr.jpg,"An intimate portrait of Michael Hutchence, lead singer of INXS.",arts,97 mins,9:20pm 28 Dec 2019,21,intimate portrait Michael Hutchence lead singer INXS,0
22,Classic Albums - Tears for Fears: Songs from the Big Chair,https://ichef.bbci.co.uk/images/ic/1200x675/p0828tzj.jpg,Documentary that explores the creation of the second album by Tears for Fears.,arts,59 mins,14 Feb 2020,22,documentary explore creation second album tear Fears,0
23,Art of Persia - Series 1: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p08hvjlq.jpg,"Samira Ahmed goes back to when Persia faced her gravest threat, Genghis Khan.",arts,59 mins,29 Jun 2020,23,Samira Ahmed go Persia face gravest threat Genghis Khan,0
24,Everything - The Real Thing Story,https://ichef.bbci.co.uk/images/ic/1200x675/p08mc3b7.jpg,The story of four Liverpool boys who became Britain's most enduring soul and funk act.,arts,89 mins,9pm 7 Aug 2020,24,story Liverpool boy Britain endure soul funk act,14
25,Handmade in Africa - Series 1: 3. Maasai Wedding Necklace,https://ichef.bbci.co.uk/images/ic/1200x675/p08pj2kt.jpg,"Jane Semanto, a master bead maker, crafts a traditional Maasai wedding necklace.",arts,28 mins,7pm 31 Aug 2020,25,Jane Semanto master bead maker craft traditional Maasai wedding necklace,0
26,Beacons: Short Films from Wales - Series 1: 6. Leaf Boat,https://ichef.bbci.co.uk/images/ic/1200x675/p08qrvyt.jpg,A Welsh-language animated short film about love - life's greatest adventure.,arts,8 mins,17 Sep 2020,26,Welsh language animate short film love life great adventure,0
27,Craftivism: Making a Difference,https://ichef.bbci.co.uk/images/ic/1200x675/p095958b.jpg,Jenny Eclair meets crafters using their skills to get their voices heard.,arts,60 mins,1 Feb 2021,27,Jenny Eclair meet crafter skill voice hear,11
28,Life Cinematic - Series 1: 5. Amma Asante,https://ichef.bbci.co.uk/images/ic/1200x675/p097pjtl.jpg,Amma Asante selects clips from the films that have had the most influence on her work.,arts,58 mins,10:45pm 4 Mar 2021,28,Amma Asante select clip film influence work,0
29,St David's Day Celebration with Bryn Terfel,https://ichef.bbci.co.uk/images/ic/1200x675/p0983zrk.jpg,"An evening of music to celebrate St David’s Day from Hoddinott Hall, Cardiff.",arts,60 mins,7pm 1 Mar 2021,29,evening music celebrate St David Day Hoddinott Hall Cardiff,9
30,Women in Film: BBC Introducing Arts,https://ichef.bbci.co.uk/images/ic/1200x675/p098kxtj.jpg,Janina Ramirez presents an intriguing collection of short films by new female film-makers.,arts,58 mins,10pm 8 Mar 2021,30,Janina Ramirez present intriguing collection short film new female film maker,14
31,Eye of the Storm,https://ichef.bbci.co.uk/images/ic/1200x675/p09bxlxq.jpg,"One of Scotland’s finest landscape artists, eyesight failing, attempts one last painting.",arts,78 mins,30 Mar 2021,31,Scotland fine landscape artist eyesight fail attempt painting,0
32,Shelf Isolation - Series 2: Episode 6,https://ichef.bbci.co.uk/images/ic/1200x675/p09c56hp.jpg,Damian Barr talks to Two Doors Down star Alex Norton.,arts,28 mins,10:30pm 4 Apr 2021,32,Damian Barr talk Doors star Alex Norton,0
33,Dancing Nation - 2. Highlights,https://ichef.bbci.co.uk/images/ic/1200x675/p091jy15.jpg,Highlights of world-class performances by the UK’s leading dance companies. ,arts,59 mins,10:15pm 10 May 2021,33,highlight world class performance UK lead dance company,8
34,Dark Matter: A History of the Afrofuture,https://ichef.bbci.co.uk/images/ic/1200x675/p09hxkmy.jpg,"How and why black artists, from Jean-Michel Basquiat to Grace Jones, use the sci-fi genre.",arts,58 mins,23 May 2021,34,black artist Jean Michel Basquiat Grace Jones use sci fi genre,0
35,Arena: African Apocalypse,https://ichef.bbci.co.uk/images/ic/1200x675/p09hv0vp.jpg,Femi Nylander travels to West Africa to discover the impact of century-old atrocities.,arts,89 mins,9:30pm 22 May 2021,35,Femi Nylander travel West Africa discover impact century old atrocity,1
36,Coventry Cathedral: Building for a New Britain,https://ichef.bbci.co.uk/images/ic/1200x675/p09kltqr.jpg,The story of the 1962 rebuilding of Coventry Cathedral after its destruction in WWII.,arts,75 mins,9pm 9 Jun 2021,36,story 1962 rebuilding Coventry Cathedral destruction WWII,14
37,Great British Photography Challenge - Series 1: Episode 4,https://ichef.bbci.co.uk/images/ic/1200x675/p09kt2lh.jpg,"To win the series, the amateurs must face three final assignments and mount an exhibition.",arts,59 mins,9pm 14 Jun 2021,37,win series amateur face final assignment mount exhibition,0
38,A Pandemic Poem: Where Did the World Go?,https://ichef.bbci.co.uk/images/ic/1200x675/p09kz6rs.jpg,A powerful and moving poetic examination of the pandemic with people from across Britain.,arts,60 mins,9pm 18 Jun 2021,38,powerful move poetic examination pandemic people Britain,11
39,Kirsty Wark Meets Artist Bridget Riley,https://ichef.bbci.co.uk/images/ic/1200x675/p09kl3p6.jpg,Celebrated artist Bridget Riley talks to Kirsty Wark.,arts,26 mins,1:30pm 5 Jun 2021,39,celebrated artist Bridget Riley talk Kirsty Wark,0
40,Turner: The Man Who Painted Britain,https://ichef.bbci.co.uk/images/ic/1200x675/p0bkd0wx.jpg,Docudrama that reveals the private man behind the public figure of artist JMW Turner.,arts,59 mins,8pm 7 Apr 2002,40,Docudrama reveal private man public figure artist JMW Turner,10
41,Blind Ambition,https://ichef.bbci.co.uk/images/ic/1200x675/p09qk3vf.jpg,Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,arts,59 mins,10pm 1 Aug 2021,41,Myopic tv director Jamie o’leary blind comedian Jamie MacDonald meet blind artist,11
42,Billie Eilish: Up Close,https://ichef.bbci.co.uk/images/ic/1200x675/p09qxmqx.jpg,Clara Amfo meets the global music phenomenon Billie Eilish for an exclusive interview.,arts,45 mins,10:30pm 31 Jul 2021,42,Clara Amfo meet global music phenomenon Billie Eilish exclusive interview,11
43,Isostasy,https://ichef.bbci.co.uk/images/ic/1200x675/p09qrfy4.jpg,"A Welsh short film reflecting on the impact of climate change, voiced by Cerys Matthews.",arts,7 mins,11:15pm 5 Aug 2021,43,Welsh short film reflect impact climate change voice Cerys Matthews,0
44,In Search of Sir Walter Scott,https://ichef.bbci.co.uk/images/ic/1200x675/p09r92r3.jpg,Author Damian Barr goes in search of the legacy of novelist and poet Sir Walter Scott.,arts,58 mins,10pm 10 Aug 2021,44,Author Damian Barr go search legacy novelist poet Sir Walter Scott,0
45,Fake or Fortune? - Series 9: 4. A King’s Last Supper,https://ichef.bbci.co.uk/images/ic/1200x675/p09rd5kb.jpg,Could a picture bought online for £50 be a missing 18th-century work by Benjamin West?,arts,59 mins,9pm 18 Aug 2021,45,picture buy online £ 50 miss 18th century work Benjamin West,0
46,Edinburgh Unlocked - 2021: Episode 2,https://ichef.bbci.co.uk/images/ic/1200x675/p09rvpd5.jpg,Comedian Mark Nelson and his star team bring you the best of the Edinburgh Fringe 2021.,arts,28 mins,10:30pm 26 Aug 2021,46,comedian Mark Nelson star team bring good Edinburgh Fringe 2021,12
47,A’ Chùil - Series 1: Episode 14,https://ichef.bbci.co.uk/images/ic/1200x675/p09t8kr0.jpg,Choirstaidh tries different recipes to find the ultimate slime.,arts,5 mins,6:45pm 7 Sep 2021,47,Choirstaidh try different recipe find ultimate slime,3
48,Talking Pictures - Film’s Family Favourites,https://ichef.bbci.co.uk/images/ic/1200x675/p09tzp27.jpg,Join Celia Imrie for a look through the BBC archives at enduring family favourites.,arts,44 mins,1:15pm 4 Sep 2021,48,Join Celia Imrie look BBC archive endure family favourite,1
49,Life Drawing Live! - 2021: The Show,https://ichef.bbci.co.uk/images/ic/1200x675/p09v8nxp.jpg,"Grab a pencil to join Joe Lycett, celebrity artists and nude models for a live art class.",arts,119 mins,9pm 12 Sep 2021,49,grab pencil join Joe Lycett celebrity artist nude model live art class,6
50,Epic Iran,https://ichef.bbci.co.uk/images/ic/1200x675/p09vlzzz.jpg,The V&A in London brings together hundreds of artefacts showcasing Iran.,arts,22 mins,12:30am 11 Sep 2021,50,V&A London bring hundred artefact showcase Iran,0
51,Inside America's Treasure House: The Met - Series 1: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p09wql1y.jpg,"As the Met faces a Covid cash crisis, friends and donors rally round.",arts,59 mins,9pm 27 Sep 2021,51,Met face Covid cash crisis friend donor rally round,11
52,Listening through the Lens: The Christopher Nupen Films,https://ichef.bbci.co.uk/images/ic/1200x675/p09xh28z.jpg,"A film about Christopher Nupen, a pioneering director of films about classical music.",arts,90 mins,9pm 3 Oct 2021,52,film Christopher Nupen pioneering director film classical music,0
53,Royal Academy Summer Exhibition - 2021. 2021,https://ichef.bbci.co.uk/images/ic/1200x675/p09x322s.jpg,"Behind the scenes at the RA's Summer Exhibition, coordinated this year by Yinka Shonibare.",arts,59 mins,8pm 2 Oct 2021,53,scene RA Summer Exhibition coordinate year Yinka Shonibare,12
54,Alexander Pope: Rediscovering a Genius,https://ichef.bbci.co.uk/images/ic/1200x675/p09xpj8f.jpg,Docudrama that recounts the astonishing life story of a forgotten genius.,arts,50 mins,8:10pm 10 Oct 2021,54,Docudrama recount astonishing life story forget genius,14
55,Inside Culture - Series 4: 5. Down Under,https://ichef.bbci.co.uk/images/ic/1200x675/p09zfr27.jpg,Mary Beard investigates the history of cultural exchange between Britain and Australia.,arts,29 mins,7:30pm 22 Oct 2021,55,Mary Beard investigate history cultural exchange Britain Australia,8
56,"Salt, by Selina Thompson",https://ichef.bbci.co.uk/images/ic/1200x675/p09z0lbj.jpg,Artist Selina Thompson recalls her journey by sea to retrace a route of the slave trade.,arts,46 mins,9pm 24 Oct 2021,56,Artist Selina Thompson recall journey sea retrace route slave trade,9
57,Nature and Us: A History through Art - Series 1: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p09z0p2w.jpg,James Fox explores our relationship with nature across the last hundred years.,arts,59 mins,9pm 25 Oct 2021,57,James Fox explore relationship nature year,12
58,Blown,https://ichef.bbci.co.uk/images/ic/1200x675/p0b06cpg.jpg,A dance film by Corey Baker to coincide with COP26 and inspired by renewable energy.,arts,3 mins,25 Oct 2021,58,dance film Corey Baker coincide COP26 inspire renewable energy,5
59,Ten Years of the SAY Award,https://ichef.bbci.co.uk/images/ic/1200x675/p08wv0jn.jpg,Exploring the impact of the Scottish Album of the Year Award.,arts,28 mins,10:45pm 30 Oct 2021,59,explore impact Scottish Album Year Award,12
60,Changing Landscapes,https://ichef.bbci.co.uk/images/ic/1200x675/p0b1vwn4.jpg,Meditating on the care and carelessness we've brought to bear on Scotland's environment.,arts,58 mins,10:35pm 2 Nov 2021,60,meditate care carelessness bring bear Scotland environment,0
61,Keith Jarrett: The Art of Improvisation,https://ichef.bbci.co.uk/images/ic/1200x675/p0b283cs.jpg,"A fascinating portrait of Keith Jarrett, whose work straddles classical music and jazz.",arts,81 mins,9pm 12 Nov 2021,61,fascinating portrait Keith Jarrett work straddle classical music jazz,0
62,Truman and Tennessee: An Intimate Conversation,https://ichef.bbci.co.uk/images/ic/1200x675/p0b0y66h.jpg,Docudrama that creates a fascinating comparison of two iconic 20th-century writers.,arts,80 mins,9pm 7 Nov 2021,62,Docudrama create fascinating comparison iconic 20th century writer,0
63,The Joy of Painting - Series 5: 26. Balmy Beach,https://ichef.bbci.co.uk/images/ic/1200x675/p0b222x6.jpg,"Bob Ross invites you to walk along the shore, with soothing waves rolling in from the sea.",arts,26 mins,7:30pm 17 Nov 2021,63,Bob Ross invite walk shore soothe wave roll sea,0
64,Drama Shorts: BBC Introducing Arts,https://ichef.bbci.co.uk/images/ic/1200x675/p0b34vdy.jpg,"Chizzy Akudolu presents new short films about secrets, love and family.",arts,59 mins,10:35pm 14 Nov 2021,64,Chizzy Akudolu present new short film secret love family,1
65,Bridget Riley - Painting the Line,https://ichef.bbci.co.uk/images/ic/1200x675/p0b28ypg.jpg,A portrait of a true visionary and one of our greatest living painters.,arts,59 mins,9pm 19 Nov 2021,65,portrait true visionary great living painter,5
66,Lindisfarne’s Geordie Genius: The Alan Hull Story,https://ichef.bbci.co.uk/images/ic/1200x675/p0b3mp7j.jpg,Sam Fender traces the career of fellow Geordie music legend - Alan Hull of Lindisfarne.,arts,59 mins,9pm 26 Nov 2021,66,Sam Fender trace career fellow Geordie music legend Alan Hull Lindisfarne,0
67,Meet You at the Hippos,https://ichef.bbci.co.uk/images/ic/1200x675/p0b3z2fb.jpg,Mark Bonnar explores the street sculpture of the Scottish new towns in which he grew up.,arts,58 mins,10pm 30 Nov 2021,67,Mark Bonnar explore street sculpture scottish new town grow,14
68,100 Women in Conversation: Chimamanda Ngozi Adichie,https://ichef.bbci.co.uk/images/ic/1200x675/p0b6krmf.jpg,A special BBC 100 Women interview with author Chimamanda Ngozi Adichie.,arts,23 mins,27 Nov 2021,68,special BBC 100 Women interview author Chimamanda Ngozi Adichie,0
69,Animated Shorts: BBC Introducing Arts,https://ichef.bbci.co.uk/images/ic/1200x675/p0b70n69.jpg,Explore imagined and thought-provoking animated worlds with Elle Osili-Wood.,arts,58 mins,10:30pm 12 Dec 2021,69,explore imagine think provoke animated world Elle Osili Wood,0
70,Reel Stories - Sting,https://ichef.bbci.co.uk/images/ic/1200x675/p0b6ypxs.jpg,Sting joins Dermot O’Leary for an in-depth interview about his life and career.,arts,44 mins,9:25pm 11 Dec 2021,70,sting join dermot o’leary depth interview life career,0
71,Between the Covers  - Series 3: Episode 6,https://ichef.bbci.co.uk/images/ic/1200x675/p0b6jlv2.jpg,"Sara is joined by Greg James, Imogen Stubbs, Fleur East and Lloyd Griffith.",arts,29 mins,7pm 15 Dec 2021,71,Sara join Greg James Imogen Stubbs Fleur East Lloyd Griffith,0
72,Quentin Blake – The Drawing of My Life,https://ichef.bbci.co.uk/images/ic/1200x675/p0b8lzcy.jpg,The beloved illustrator and famous fans on Roald Dahl and other artistic adventures.,arts,59 mins,25 Dec 2021,72,beloved illustrator famous fan Roald Dahl artistic adventure,0
73,The Big Scottish Book Club - Series 3: Episode 8,https://ichef.bbci.co.uk/images/ic/1200x675/p0b7sb5d.jpg,"Damian Barr talks short stories with Bernard MacLaverty, Val McDermid and Kit de Waal.",arts,58 mins,10pm 19 Dec 2021,73,Damian Barr talk short story Bernard MacLaverty Val McDermid Kit de Waal,14
74,Daniel O’Donnell - The Boy from Donegal,https://ichef.bbci.co.uk/images/ic/1200x675/p0b9rbg6.jpg,"Documentary marking Daniel O’Donnell’s 60th birthday, with access to his recent tours.",arts,59 mins,10:35pm 28 Dec 2021,74,documentary mark Daniel o’donnell 60th birthday access recent tour,0
75,This Is Joan Collins,https://ichef.bbci.co.uk/images/ic/1200x675/p0b9pshh.jpg,The Dynasty star narrates her rollercoaster life story.,arts,96 mins,1 Jan 2022,75,Dynasty star narrate rollercoaster life story,14
76,Sondheim – A Tribute from Andrew Lloyd Webber,https://ichef.bbci.co.uk/images/ic/1200x675/p0bct71x.jpg,Andrew Lloyd Webber pays tribute to Stephen Sondheim.,arts,2 mins,7pm 27 Dec 2021,76,Andrew Lloyd Webber pay tribute Stephen Sondheim,0
77,The Band - Series 2: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p0bfr9s9.jpg,The Graham family from Rathfriland prepare for their band’s annual tractor run.,arts,28 mins,10:40pm 19 Jan 2022,77,Graham family Rathfriland prepare band annual tractor run,1
78,The Royal Ballet: The Dante Project,https://ichef.bbci.co.uk/images/ic/1200x675/p0bj3r9h.jpg,Wayne McGregor’s ballet The Dante Project from the Royal Opera House.,arts,106 mins,9pm 23 Jan 2022,78,Wayne McGregor ballet Dante Project Royal Opera House,0
79,Art on the BBC - Series 2: 4. Turner - Light and Landscape,https://ichef.bbci.co.uk/images/ic/1200x675/p0bhqvf2.jpg,Leslie Primo explores the BBC archives to create a television history of JMW Turner.,arts,59 mins,9pm 24 Jan 2022,79,Leslie Primo explore BBC archive create television history JMW Turner,0
80,Survivors: Portraits of the Holocaust,https://ichef.bbci.co.uk/images/ic/1200x675/p0bj1x94.jpg,Following seven leading artists as they paint seven survivors of the Holocaust. ,arts,60 mins,9pm 27 Jan 2022,80,follow seven lead artist paint seven survivor Holocaust,0
81,Branagh: bringing Belfast home,https://ichef.bbci.co.uk/images/ic/1200x675/p0bhph85.jpg,"Sir Kenneth Branagh is profiled as his Oscar-tipped new film Belfast is released here.
",arts,29 mins,10:35pm 25 Jan 2022,81,"Sir Kenneth Branagh profile Oscar tip new film Belfast release 
",14
82,"The Narrow Sea, The Farther Shore with Phil Cunningham - Series 1: Episode 2",https://ichef.bbci.co.uk/images/ic/1200x675/p0bjdj3t.jpg,Unique insights into musician and composer Phil Cunningham’s creative process.,arts,58 mins,10pm 30 Jan 2022,82,unique insight musician composer Phil Cunningham creative process,0
83,"Pots, Paints and Plays with Gemma Bradley",https://ichef.bbci.co.uk/images/ic/1200x675/p0bkc6xq.jpg,Musician and broadcaster Gemma Bradley meets a variety of Mid Ulster artists.,arts,28 mins,10pm 3 Feb 2022,83,musician broadcaster Gemma Bradley meet variety Mid Ulster artist,11
84,The Brontës: An Irish Tale,https://ichef.bbci.co.uk/images/ic/1200x675/p0bkcsyk.jpg,Actress Aoife Hinds explores the little-known Irish part of the Brontë story.,arts,29 mins,10:40pm 1 Feb 2022,84,Actress Aoife Hinds explore little know irish Brontë story,14
85,Britain's Lost Masterpieces - Series 5: 3. Glasgow,https://ichef.bbci.co.uk/images/ic/1200x675/p0951zg6.jpg,Technical problems frustrate Bendor and Emma’s investigation of a 300-year-old portrait.,arts,59 mins,9pm 7 Feb 2022,85,technical problem frustrate Bendor Emma investigation 300 year old portrait,12
86,Mary Beard's Forbidden Art - Series 1: 2. To See or Not to See?,https://ichef.bbci.co.uk/images/ic/1200x675/p0blyxtl.jpg,Mary Beard explores how art challenges us to confront ideas we’d rather not face up to.,arts,59 mins,10 Feb 2022,86,Mary Beard explore art challenge confront idea face,0
87,Emma Spence: The Art of Surviving,https://ichef.bbci.co.uk/images/ic/1200x675/p0blgf3n.jpg,"A portrait of Emma Spence, whose art is shaped by her farming family and tragedy overcome.",arts,29 mins,10:40pm 8 Feb 2022,87,portrait Emma Spence art shape farming family tragedy overcome,1
88,Flight,https://ichef.bbci.co.uk/images/ic/1200x675/p0bm0b7s.jpg,"A child attempts to defy gravity, through the power of imagination and dance.",arts,7 mins,11:10pm 8 Feb 2022,88,child attempt defy gravity power imagination dance,5
89,This Cultural Life - Series 1: 8. Evelyn Glennie,https://ichef.bbci.co.uk/images/ic/1200x675/p0bn44y9.jpg,Renowned solo percussionist Evelyn Glennie talks about the key influences on her art.,arts,29 mins,7:30pm 13 Feb 2022,89,renowned solo percussionist Evelyn Glennie talk key influence art,0
90,Arena - The Most Beautiful Boy in the World,https://ichef.bbci.co.uk/images/ic/1200x675/p0bnfrng.jpg,What price fame? The story of the boy chosen to play Tadzio in 1971's Death in Venice.,arts,91 mins,9pm 13 Feb 2022,90,price fame story boy choose play Tadzio 1971 death Venice,14
91,"The Film Review - Dog, Old Henry, Here Before",https://ichef.bbci.co.uk/images/ic/1200x675/p02kh4jx.jpg,"Mark Kermode joins Jane Hill to discuss Dog, Old Henry, Here Before and more. ",arts,12 mins,5:45pm 18 Feb 2022,91,Mark Kermode join Jane Hill discuss Dog Old Henry,0
92,Dance: BBC Introducing Arts,https://ichef.bbci.co.uk/images/ic/1200x675/p0bncgl5.jpg,Brenda Emmanus presents short films that combine powerful storytelling with dance.,arts,59 mins,10pm 20 Feb 2022,92,Brenda Emmanus present short film combine powerful storytelle dance,5
93,Dance Passion - 2022: Highlights,https://ichef.bbci.co.uk/images/ic/1200x675/p0bnmrw9.jpg,Josie d’Arby and Karim Zeroual present highlights from Dance Passion 2022.,arts,59 mins,8pm 20 Feb 2022,93,Josie d’Arby Karim Zeroual present highlight Dance Passion 2022,12
94,Firestarter: The Story of Bangarra,https://ichef.bbci.co.uk/images/ic/1200x675/p0bnfjkz.jpg,How an Indigenous Australian dance group became a cultural powerhouse.,arts,58 mins,9pm 20 Feb 2022,94,indigenous australian dance group cultural powerhouse,5
95,Britain's Best Young Artist - Series 1: 13. The Final,https://ichef.bbci.co.uk/images/ic/1200x675/p0bnd39l.jpg,"It’s the final, and the artists must make a stunning piece that celebrates home.",arts,28 mins,6:30pm 24 Feb 2022,95,final artist stunning piece celebrate home,7
96,imagine... - 2022: Wayne McGregor: Dancing on the Edge,https://ichef.bbci.co.uk/images/ic/1200x675/p0bpfgrp.jpg,"Alan Yentob profiles Wayne McGregor, the resident choreographer at the Royal Ballet.",arts,82 mins,10:40pm 21 Feb 2022,96,Alan Yentob profile Wayne McGregor resident choreographer Royal Ballet,0
97,Loop - TV - Series 4: Episode 1,https://ichef.bbci.co.uk/images/ic/1200x675/p0bngh1z.jpg,Libertines frontman Peter Doherty shares his thoughts on art as a form of rehabilitation.,arts,28 mins,11:30pm 24 Feb 2022,97,libertine frontman Peter Doherty share thought art form rehabilitation,0
98,Artists on Film: Scenes from Working Lives - Episode 5,https://ichef.bbci.co.uk/images/ic/1200x675/p025lzqd.jpg,"A focus on abstract artists, including William Hayter and Patrick Heron.",arts,30 mins,7 Jul 1988,98,focus abstract artist include William Hayter Patrick Heron,0
99,"Rossetti - Sex, Drugs and Oil Paint",https://ichef.bbci.co.uk/images/ic/1200x675/p02tgnlf.jpg,Andrew Graham-Dixon considers the work of Dante Gabriel Rossetti. (2003),arts,29 mins,3 Nov 2003,99,Andrew Graham Dixon consider work Dante Gabriel Rossetti 2003,0
100,Augustus and Gwen: The Fire and the Fountain,https://ichef.bbci.co.uk/images/ic/1200x675/p02tgn6z.jpg,The story of Augustus John and his sister Gwen. (1975),arts,50 mins,19 Mar 1975,100,story Augustus John sister Gwen 1975,14
101,The Devil's Music - Series 2: Episode 4,https://ichef.bbci.co.uk/images/ic/1200x675/p01m7rld.jpg,Alexis Korner looks at contemporary Chicago Blues music. (1979),arts,25 mins,30 Jul 1979,101,Alexis Korner look contemporary Chicago Blues music 1979,2
